what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1505319963677
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1505319963678
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1505319963678
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1505319963678
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1505319963679
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1505319963679
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1505319963680
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1505319963680
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1505319963681
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1505319963681
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1505319963682
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1505319963682
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1505319963682
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1505319963682
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1505319963683
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1505319963683
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1505319963683
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1505319963684
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1505319963689
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1505319963690
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1505319963690
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1505319963691
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1505319963691
os,sysinfo,,,"win32",1505319963692
arch,sysinfo,,,"x86_64",1505319963692
ws,sysinfo,,,"win32",1505319963692
locale,sysinfo,,,"en_US",1505319963692
processors,sysinfo,,,"8",1505319963692
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1505319963692
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1505319963692
java.specification.name,sysinfo,,,"Java Platform API Specification",1505319963692
java.specification.vendor,sysinfo,,,"Oracle Corporation",1505319963692
java.specification.version,sysinfo,,,"1.8",1505319963692
java.vendor,sysinfo,,,"Oracle Corporation",1505319963692
java.version,sysinfo,,,"1.8.0_121",1505319963692
java.vm.info,sysinfo,,,"mixed mode",1505319963692
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1505319963692
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1505319963692
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1505319963692
java.vm.specification.version,sysinfo,,,"1.8",1505319963692
java.vm.vendor,sysinfo,,,"Oracle Corporation",1505319963692
java.vm.version,sysinfo,,,"25.121-b13",1505319963692
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1505319963766
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1505319963784
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1505319963808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505319966679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505319977289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505319977312
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1505319977622
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1505319977705
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1505319977712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505319978543
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1505319980139
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1505319980142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505319985759
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1505319993920
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1505319993934
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1505319993963
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1505319994004
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1505319994006
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1505319994048
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1505319994108
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1505319994136
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1505319994181
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1505319994277
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1505319994291
